gender,married,dependents,education,self_employed,applicant_income,coapplicant_income,loan_amount,loan_term,credit_history,property_area,loan_status
Female,Yes,0,Graduate,No,93793,54821,82,360,1,Urban,Y
Female,Yes,1,Graduate,No,93820,30842,45,240,1,Semiurban,Y
Female,Yes,0,Not Graduate,No,80327,22303,48,360,0,Urban,N
Female,Yes,0,Graduate,No,145459,56309,82,360,1,Urban,Y
Male,No,1,Graduate,Yes,35453,5129,15,360,0,Rural,N
Female,Yes,0,Not Graduate,No,39557,8165,26,180,1,Rural,Y
Female,Yes,1,Not Graduate,No,43282,11554,22,360,1,Urban,Y
Male,Yes,1,Graduate,No,54094,27573,31,360,1,Urban,Y
Female,No,1,Graduate,No,50836,9990,29,180,1,Urban,Y
Female,No,2,Not Graduate,Yes,160595,46837,107,360,0,Urban,N
Male,Yes,1,Not Graduate,No,95505,32612,73,360,0,Urban,Y
Female,No,1,Graduate,No,30332,5632,9,360,0,Semiurban,N
Female,Yes,0,Graduate,No,154571,68847,115,360,1,Urban,Y
Female,Yes,3+,Not Graduate,No,54289,12451,32,360,1,Semiurban,Y
Female,Yes,0,Graduate,No,58644,16325,31,240,1,Rural,Y
Female,Yes,2,Not Graduate,Yes,74343,26550,53,360,0,Semiurban,N
Male,Yes,2,Graduate,No,93410,24299,24,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,52566,10748,31,360,1,Rural,Y
Female,Yes,3+,Graduate,No,98828,54839,34,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,140674,80653,68,240,0,Urban,N
Male,Yes,0,Graduate,No,36191,15835,19,360,1,Rural,Y
Male,No,3+,Graduate,No,57607,12594,25,360,1,Rural,Y
Female,Yes,1,Not Graduate,No,42576,26491,15,360,1,Urban,Y
Male,Yes,1,Graduate,No,72524,45158,67,360,1,Urban,Y
Female,No,0,Graduate,No,51895,617,24,360,1,Urban,Y
Female,Yes,0,Graduate,No,36570,22037,16,360,0,Rural,N
Male,Yes,0,Graduate,No,54830,19341,40,360,0,Semiurban,N
Male,No,1,Graduate,No,110340,19807,31,360,1,Urban,Y
Male,No,0,Graduate,No,104922,17624,33,360,1,Semiurban,Y
Female,No,0,Graduate,No,95770,271,42,360,1,Urban,Y
Male,Yes,2,Graduate,No,87532,19284,26,360,1,Urban,Y
